Job Experience Required,Key Skills,Job Title
0-4,"Java, Spring, Microservices, Hibernate, REST APIs, SQL, Docker", Java Developer
0-4,"HTML, CSS, JavaScript, React, Redux, Node.js, Git",Frontend Developer
0-4,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow",Machine Learning Engineer
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Technician
0-4,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML",Content Writer
0-4,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Network Engineer
0-4,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding",Graphic Designer
0-4,"Data Analysis, SQL, Excel, Python, Tableau, Power BI, Data Visualization",Data Analyst
0-4,"Digital Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Digital Marketing Specialist
0-4,"Web Development, HTML, CSS, JavaScript, PHP, WordPress, Git, SEO",Web Developer
0-4,"Customer Service, Call Center, CRM, Communication, Problem Solving, Active Listening, Time Management",Customer Service Representative
0-4,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Technician
0-4,"Python, Data Processing, Machine Learning, Data Visualization, SQL, Pandas, NumPy", Data Engineer
0-4,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms", Software Developer
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
0-4,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL",Web Developer
0-4,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization", Data Scientist
0-4,"Mechanical Engineering, CAD, SolidWorks, Product Design, Manufacturing, Prototyping, FEA", Mechanical Engineer
0-4,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers", Electrical Engineer
0-4,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML",Content Specialist
0-4,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Clerk
0-4,"Finance, Financial Analysis, Budgeting, Forecasting, Excel, Accounting, SAP", Financial Analyst
0-4,"Software Development, .NET, C#, ASP.NET, MVC, SQL Server, REST APIs, Agile",.NET Developer
0-4,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing", SEO Specialist
0-4,"Electrical Engineering, Power Systems, Electrical Design, MATLAB, AutoCAD, PLC Programming, Testing", Power Systems Engineer
0-4,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization",Data Scientist
0-4,"Human Resources, Recruitment, Talent Acquisition, Employee Relations, HRIS, Performance Management, Training and Development",HR Specialist
0-4,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Business Analyst
0-4,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Marketing Specialist
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Assistant
0-4,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers", Electrical Engineer
0-4,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Specialist
0-4,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms", Software Developer
0-4,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding", Graphic Designer
0-4,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Technician
0-4,"Web Development, HTML, CSS, JavaScript, PHP, WordPress, Git, SEO",Web Developer
0-4,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting", Network Engineer
0-4,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
0-4,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Specialist
0-4,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow", Data Scientist
0-4,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Electrical Engineer
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Assistant
0-4,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML",Content Writer
0-4,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Clerk
0-4,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Software Engineer
0-4,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL", Web Developer
0-4,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization", Data Analyst
0-4,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Marketing Specialist
0-4,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Network Engineer
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
0-4,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding",Graphic Designer
0-4,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization",Data Scientist
0-4,"Human Resources, Recruitment, Talent Acquisition, Employee Relations, HRIS, Performance Management, Training and Development",HR Specialist
0-4,"Business Analysis, Requirements Gathering, Process Improvement, UML, BPMN, Agile, SQL",Business Analyst
0-4,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Marketing Specialist
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Assistant
0-4,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers", Electrical Engineer
0-4,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Specialist
0-4,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms", Software Developer
0-4,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding", Graphic Designer
0-4,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization",Data Analyst
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Technician
0-4,"Web Development, HTML, CSS, JavaScript, PHP, WordPress, Git, SEO",Web Developer
0-4,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting", Network Engineer
0-4,"IT Support, Troubleshooting, Networking, Windows, Linux, Active Directory, Scripting",IT Support Engineer
0-4,"Marketing, SEO, Google Analytics, AdWords, Content Marketing, Social Media Marketing, Email Marketing",Marketing Specialist
0-4,"Python, Machine Learning, Data Analysis, Pandas, NumPy, Scikit-Learn, TensorFlow", Data Scientist
0-4,"Electrical Engineering, Circuit Design, CAD, PCB Design, Simulation, Testing, Microcontrollers",Electrical Engineer
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Support Assistant
0-4,"Content Writing, Blogging, SEO, Social Media, Copywriting, WordPress, HTML",Content Writer
0-4,"Data Entry, Excel, Reporting, Data Cleaning, Attention to Detail, Typing, Communication",Data Entry Clerk
0-4,"Software Development, Java, C++, Python, Git, Data Structures, Algorithms",Software Engineer
0-4,"Web Development, HTML, CSS, JavaScript, jQuery, Bootstrap, PHP, MySQL", Web Developer
0-4,"Data Science, Python, R, Machine Learning, Data Cleaning, Data Wrangling, Visualization", Data Analyst
0-4,"Marketing, Brand Strategy, Digital Marketing, SEO, Content Creation, Social Media, Google Analytics",Marketing Specialist
0-4,"Networking, Cisco, Firewall, Security, VPN, Linux, Troubleshooting",Network Engineer
0-4,"IT Support, Help Desk, Troubleshooting, Windows, MacOS, Hardware, Software",IT Technician
0-4,"Graphic Design, Adobe Creative Suite, Photoshop, Illustrator, InDesign, Typography, Branding",Graphic Designer
0-4,"Python, Data Analysis, Machine Learning, Data Wrangling, SQL, R, Visualization",Data Scientist
0-4,"Human Resources, Recruitment, Talent Acquisition, Employee Relations, HRIS, Performance Management, Training and Development",HR Specialist
